donor,announcement_date,source_reported_value,reporting_currency,aid_type_general,aid_type_specific,measure,explanation
Austria,04.05.22,54.400.000,EUR,Humanitarian,Assistance,Commitment,"The minister of foreign affairs announced to provide additional EUR41.9 million in financial assistance for humanitarian projects. Note that this is tied to an equal amount that has been donated by the general public (another EUR41.9 million). As outlined by ""Source of Aid 2"", at least EUR15 million of this announced sum is devoted to projects for women and children. Furthermore, it is reported that EUR5 million are devoted to refugees in Moldova. Additionally, Source of Aid 2 reports that Austria already provided EUR17.5 million in aid to the Red Cross and other NGOs and also contributed EUR10 million financial assistance to the World Bank’s Ukraine assistance programme. Hence, we substract the EUR5 million going to Moldova, add the EUR17.5 million for NGOs and count EUR54.4 million as direct aid to Ukraine. We report the financial assistance amounting to EUR10 million EUR in ATF1."
Austria,04.09.22,625.000.000,EUR,Humanitarian,Budgetary appropriations,Commitment,"In Source of Aid 4, the ""Framework Agreement between Ukraine and Austria on Economic Cooperation in Project Development,"" the Austrian government government agrees to guarantee loans from ""Export credit agencies"" to finance projects for reconstruction of social and educational infrastructure. The agreement sets conditions for future projects, which will be determined by a Joint Working Group and implemented according to an Implementation Contract. The agreement already included the contract value of three projects for a total of EUR 625 million, which we report as the commitment value in this entry. These three projects  are reported as allocations under this Commitment. In Source 1, the Minister of Economy Yulia Svyrydenko estimated that ""the cost of these projects will be over EUR 500 million."" In Source 3, a press release from the Austrian embassy to Lithuanian stated that their cost was 600 EUR million."
Austria,04.09.22,200.000.000,EUR,Humanitarian,Reconstruction,Allocation,"From the EUR 625 million commited in the Framework Agreement in ATF2, EUR 200 million are allocated to the construction and equipment of the National Children's Specialized Hospital ""Okhmatdyt."" Source of Aid 1, Appendix 2 specifies the Implementation Contract for this project. Financing will be available for a period of 48 months plus 10 years for repayment (maturity), after a grace period of 30 months (2.5 years), and the interest rate will be composed of the floating reference rate (EURIBOR) plus 1.25%. 

"
Austria,04.09.22,350.000.000,EUR,Humanitarian,Reconstruction,Allocation,"From the EUR 625 million commited in the Framework Agreement in ATF2, EUR  350 million are allocated to construction and equipment of a modern University Clinic in the city of Kyiv. Source of Aid 1, Appendix 2 specifies the Implementation Contract for this project. Financing will be available for a period of 48 months plus 10 years for repayment (maturity), after a grace period of 30 months (2.5 years), and the interest rate will be composed of the floating reference rate (EURIBOR) plus 1.25%.

"
Austria,04.09.22,75.000.000,EUR,Humanitarian,Reconstruction,Allocation,"From the EUR 625 million commited in the Framework Agreement in ATF2, EUR 75 million are allocated to construction and equipment of the National Rehabilitation Center of Ukraine in the city of Lviv. Source of Aid 1, Appendix 2 specifies the Implementation Contract for this project. Financing will be available for a period of 28 months plus 10 years for repayment (maturity), after a grace period of 30 months (2.5 years), and the interest rate will be composed of the floating reference rate (EURIBOR) plus 1.25%.

"
Austria,01.11.22,5.005.199,EUR,Humanitarian,Equipment,Allocation,"In November 2022 Austrian Embassy in the US created a webpage listing all aid provided to Ukraine (Source of Aid 1). Among other things listed, there is a monetary value of all in-kind humanitarian assistance (6 million EUR). This information was rarely available so far, so we only managed to capture the first big package (see ATH1). So, to cover the rest, we subtract the value of the previous package(ATH1) and report it in this entry."
Austria,01.11.22,5.000.000,EUR,Humanitarian,Equipment,Allocation,"In November 2022 Austrian Embassy in the US created a webpage listing all aid provided to Ukraine (Source of Aid 1). Among other things listed, the list provides information regarding the monetary value of winterisation aid for Ukraine. We assume this aid was provided recently to the date of the publication since the demand for such a type of aid only occurred after a massive missile strike in October 2022."
Austria,09.12.22,0,EUR,Humanitarian,Consolidation,Allocation,"The official press release of the Ministry of Foreign Affairs of Austria reports that the total humanitarian aid provided to Ukraine and bordering countries is 87 million EUR (Source of Aid 1). Since we do not know how much of this went to Ukraine, we keep our value of humanitarian support up to this date which is EUR71.5 million.
"
Austria,16.12.22,5.000.000,EUR,Humanitarian,Contribution,Allocation,Austria to transfer EUR 5 million to Ukraine Energy Support Fund.
Austria,31.01.23,5.000.000,EUR,Humanitarian,Contribution,Allocation,Source if Aid 1 mentioned that Austria is to provide EUR 10 million to Ukraine Energy Support Fund. Later official website of the fund mentioned that the contribution provided by Austria was EUR 10 million (Source of aid 2). ATH8 reported only 5 EUR million. We report the rest here.
